       Quick Sort                                     BubbleSort                                 BST
n      av               av/n      av/n*n  av/nlog(n)  av          av/n       av/n*n  av/nlog(n)  av          av/n     av/n*n  av/nlog(n)  
5500   77792.33335500   14.1441   0.0026   1.1383   15117112.7000   2748.5659   0.4997   221.2087   78765.4667   14.3210   0.0026   1.1526
5600   80753.03335600   14.4202   0.0026   1.1581   15670440.4333   2798.2929   0.4997   224.7406   81068.6333   14.4765   0.0026   1.1627
5700   83098.86675700   14.5787   0.0026   1.1685   16239444.0333   2849.0253   0.4998   228.3468   83305.8667   14.6151   0.0026   1.1714
5800   84422.10005800   14.5555   0.0025   1.1643   16810164.1667   2898.3042   0.4997   231.8303   84835.7667   14.6269   0.0025   1.1700
5900   86018.83335900   14.5795   0.0025   1.1639   17396723.8667   2948.5973   0.4998   235.3888   85549.4333   14.4999   0.0025   1.1575
6000   87570.33336000   14.5951   0.0024   1.1629   17992564.6333   2998.7608   0.4998   238.9309   87942.0333   14.6570   0.0024   1.1678
6100   88315.70006100   14.4780   0.0024   1.1514   18596153.1000   3048.5497   0.4998   242.4372   88790.2333   14.5558   0.0024   1.1576
6200   91517.76676200   14.7609   0.0024   1.1717   19209498.8000   3098.3063   0.4997   245.9353   90509.0000   14.5982   0.0024   1.1588
6300   92270.53336300   14.6461   0.0023   1.1604   19835651.0333   3148.5160   0.4998   249.4638   92576.1000   14.6946   0.0023   1.1643
6400   94035.16676400   14.6930   0.0023   1.1621   20470901.2667   3198.5783   0.4998   252.9749   94852.8667   14.8208   0.0023   1.1722
6500   94700.10006500   14.5692   0.0022   1.1502   21115758.4333   3248.5782   0.4998   256.4757   95037.6333   14.6212   0.0022   1.1543
6600   96599.00006600   14.6362   0.0022   1.1535   21770519.1667   3298.5635   0.4998   259.9699   97031.6667   14.7018   0.0022   1.1587
6700   97990.20006700   14.6254   0.0022   1.1507   22435433.1000   3348.5721   0.4998   263.4608   99539.3667   14.8566   0.0022   1.1689
6800   100408.80006800   14.7660   0.0022   1.1598   23110468.6667   3398.5983   0.4998   266.9479   100264.4333   14.7448   0.0022   1.1581
6900   103003.13336900   14.9280   0.0022   1.1706   23795725.8333   3448.6559   0.4998   270.4323   102379.5333   14.8376   0.0022   1.1635
7000   102047.50007000   14.5782   0.0021   1.1413   24490071.0667   3498.5816   0.4998   273.9015   103501.2333   14.7859   0.0021   1.1576
7100   106475.06677100   14.9965   0.0021   1.1722   25192421.6000   3548.2284   0.4998   277.3439   106767.7667   15.0377   0.0021   1.1754
7200   106560.90007200   14.8001   0.0021   1.1550   25907067.2667   3598.2038   0.4998   280.8073   107272.5000   14.8990   0.0021   1.1627
